#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
287,Andre Barrett,TOR,19,14.9,4.6,2.0,5.5,0.365,0.1,0.7,0.143,0.5,0.6,0.75,0.5,0.8,1.3,2.7,0.5,0.0,0.8,0.7
288,Eddie Griffin,MIN,70,19.4,4.6,1.9,5.3,0.351,0.2,1.2,0.195,0.6,1.1,0.595,1.5,4.0,5.6,0.6,0.2,2.1,0.6,1.8
289,Adrian Griffin,DAL,52,24.0,4.6,1.9,3.9,0.48,0.0,0.0,0.0,0.8,1.0,0.774,1.4,2.9,4.4,1.7,1.0,0.2,0.8,2.2
290,Sasha Pavlovic,CLE,53,15.3,4.5,1.6,4.0,0.41,0.7,1.8,0.365,0.6,0.9,0.653,0.3,1.2,1.5,0.5,0.4,0.1,0.8,1.9
291,Rasho Nesterovic,SAS,80,18.9,4.5,2.2,4.2,0.515,0.0,0.0,0.0,0.2,0.4,0.6,1.4,2.4,3.9,0.4,0.3,1.1,0.7,2.6
292,Justin Reed,MIN,72,13.8,4.5,1.7,4.1,0.403,0.0,0.0,0.0,1.2,1.7,0.725,0.7,1.0,1.7,0.6,0.3,0.2,0.7,2.3
293,Adonal Foyle,GSW,77,23.7,4.5,2.0,3.9,0.507,0.0,0.0,0.0,0.5,0.9,0.612,1.9,3.6,5.5,0.4,0.6,1.6,1.0,2.8
294,Malik Rose,NYK,72,15.5,4.4,1.5,3.9,0.374,0.0,0.0,1.0,1.5,1.9,0.781,1.2,2.4,3.6,0.9,0.6,0.2,1.1,2.0
295,Bostjan Nachbar,NJN,36,13.9,4.4,1.5,4.3,0.346,0.5,2.0,0.268,0.8,1.2,0.682,0.2,1.4,1.7,0.8,0.4,0.1,0.7,1.8
296,Anthony Grundy,ATL,12,9.0,4.3,1.6,3.2,0.5,0.4,1.3,0.333,0.8,1.2,0.643,0.1,1.3,1.4,0.8,0.6,0.0,0.8,1.2
297,Jiri Welsch,MIL,58,14.9,4.3,1.5,3.8,0.387,0.2,0.8,0.286,1.1,1.5,0.747,0.4,1.5,1.9,1.1,0.6,0.0,0.7,1.1
298,Jon Barry,HOU,20,17.1,4.3,1.3,3.3,0.385,0.6,1.6,0.375,1.2,1.5,0.828,0.1,1.5,1.6,1.3,0.7,0.1,1.1,1.3
299,Linton Johnson,NOP,36,14.6,4.3,1.7,4.1,0.409,0.4,1.0,0.361,0.5,0.8,0.667,1.1,2.3,3.4,0.4,0.3,0.3,0.8,1.7
300,Lee Nailon,PHI,22,10.8,4.2,1.8,3.6,0.5,0.0,0.0,0.0,0.6,0.7,0.867,1.0,0.9,1.9,0.3,0.4,0.2,0.5,1.5
