#,Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF
53,Carl Landry,NOP,41,24.4,0.5,0.2,0.4,0.503,0.0,0.0,0.0,0.1,0.2,0.799,0.1,0.1,0.2,0.0,0.0,0.0,0.1,0.1
54,Chris Bosh,MIA,57,35.2,0.5,0.2,0.4,0.487,0.0,0.0,0.286,0.1,0.1,0.821,0.0,0.2,0.2,0.1,0.0,0.0,0.1,0.1
55,Rudy Gay,MEM,65,37.3,0.5,0.2,0.4,0.455,0.0,0.1,0.312,0.1,0.1,0.791,0.1,0.1,0.2,0.1,0.0,0.0,0.1,0.1
56,Carlos Boozer,CHI,66,29.5,0.5,0.2,0.4,0.532,0.0,0.0,0.0,0.0,0.1,0.693,0.1,0.2,0.3,0.1,0.0,0.0,0.1,0.1
57,John Lucas,CHI,49,14.8,0.5,0.2,0.5,0.399,0.1,0.2,0.393,0.0,0.0,0.875,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
58,Nick Young,LAC,62,27.9,0.5,0.2,0.5,0.403,0.1,0.2,0.365,0.1,0.1,0.852,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1
59,Kevin Garnett,BOS,60,31.1,0.5,0.2,0.4,0.503,0.0,0.0,0.333,0.1,0.1,0.857,0.0,0.2,0.3,0.1,0.0,0.0,0.1,0.1
60,Charlie Villanueva,DET,13,13.8,0.5,0.2,0.5,0.385,0.1,0.3,0.333,0.0,0.0,0.857,0.1,0.2,0.3,0.0,0.0,0.0,0.0,0.1
61,Paul Millsap,UTA,64,32.8,0.5,0.2,0.4,0.495,0.0,0.0,0.226,0.1,0.1,0.792,0.1,0.2,0.3,0.1,0.1,0.0,0.1,0.1
62,Jerryd Bayless,TOR,31,22.7,0.5,0.2,0.4,0.424,0.1,0.1,0.423,0.1,0.1,0.852,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1
63,Ryan Anderson,ORL,61,32.2,0.5,0.2,0.4,0.439,0.1,0.2,0.393,0.1,0.1,0.877,0.1,0.1,0.2,0.0,0.0,0.0,0.0,0.1
64,Michael Beasley,MIN,47,23.1,0.5,0.2,0.5,0.445,0.0,0.1,0.376,0.1,0.1,0.642,0.0,0.2,0.2,0.0,0.0,0.0,0.1,0.1
65,Luis Scola,HOU,66,31.3,0.5,0.2,0.4,0.491,0.0,0.0,0.0,0.1,0.1,0.773,0.1,0.1,0.2,0.1,0.0,0.0,0.1,0.1
66,Rodney Stuckey,DET,55,29.9,0.5,0.2,0.4,0.429,0.0,0.1,0.317,0.2,0.2,0.834,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
67,Chauncey Billups,LAC,20,30.3,0.5,0.1,0.4,0.364,0.1,0.2,0.384,0.1,0.2,0.895,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
68,Tiago Splitter,SAS,59,19.0,0.5,0.2,0.3,0.618,0.0,0.0,0.0,0.1,0.2,0.691,0.1,0.2,0.3,0.1,0.0,0.0,0.1,0.1
69,Jordan Farmar,NJN,39,21.3,0.5,0.2,0.4,0.467,0.1,0.2,0.44,0.1,0.1,0.905,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1
70,Anthony Randolph,MIN,34,15.2,0.5,0.2,0.4,0.47,0.0,0.0,0.0,0.1,0.2,0.762,0.1,0.2,0.2,0.0,0.0,0.1,0.1,0.1
71,Greg Monroe,DET,66,31.5,0.5,0.2,0.4,0.521,0.0,0.0,0.0,0.1,0.1,0.739,0.1,0.2,0.3,0.1,0.0,0.0,0.1,0.1
72,Maybyner Nene,WAS,39,28.5,0.5,0.2,0.4,0.537,0.0,0.0,0.0,0.1,0.2,0.673,0.1,0.2,0.3,0.1,0.0,0.0,0.1,0.1
73,Marcin Gortat,PHX,66,32.0,0.5,0.2,0.4,0.555,0.0,0.0,0.0,0.1,0.1,0.649,0.1,0.2,0.3,0.0,0.0,0.0,0.0,0.1
74,Ryan Reid,OKC,5,3.3,0.5,0.2,0.3,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1
75,Tyreke Evans,SAC,63,34.3,0.5,0.2,0.4,0.453,0.0,0.0,0.202,0.1,0.1,0.779,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
76,Trey Thompkins,LAC,24,5.0,0.5,0.2,0.5,0.393,0.0,0.1,0.308,0.0,0.1,0.714,0.0,0.2,0.2,0.0,0.0,0.0,0.1,0.1
77,Nate Robinson,GSW,51,23.4,0.5,0.2,0.4,0.424,0.1,0.2,0.365,0.1,0.1,0.832,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1
78,DeMar DeRozan,TOR,63,35.0,0.5,0.2,0.4,0.422,0.0,0.0,0.261,0.1,0.2,0.81,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
79,Jason Terry,DAL,63,31.7,0.5,0.2,0.4,0.43,0.1,0.2,0.378,0.0,0.1,0.883,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.0
80,Ersan Ilyasova,MIL,60,27.6,0.5,0.2,0.4,0.492,0.0,0.1,0.455,0.1,0.1,0.781,0.1,0.2,0.3,0.0,0.0,0.0,0.0,0.1
81,Kyrylo Fesenko,IND,3,5.7,0.5,0.1,0.3,0.4,0.0,0.0,0.0,0.2,0.4,0.667,0.1,0.4,0.5,0.1,0.1,0.0,0.0,0.1
82,O.J. Mayo,MEM,66,26.8,0.5,0.2,0.4,0.408,0.1,0.2,0.364,0.1,0.1,0.773,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
83,Ty Lawson,DEN,61,34.8,0.5,0.2,0.4,0.488,0.0,0.1,0.365,0.1,0.1,0.824,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.0
84,Mike Dunleavy,MIL,55,26.3,0.5,0.2,0.3,0.474,0.1,0.1,0.399,0.1,0.1,0.811,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1
85,Richard Hamilton,CHI,28,24.9,0.5,0.2,0.4,0.452,0.0,0.1,0.37,0.0,0.1,0.784,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
86,Steve Novak,NYK,54,18.9,0.5,0.2,0.3,0.478,0.1,0.3,0.472,0.0,0.0,0.846,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1
87,Mo Williams,LAC,52,28.3,0.5,0.2,0.4,0.426,0.1,0.2,0.389,0.0,0.1,0.9,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
88,Danilo Gallinari,DEN,43,31.4,0.5,0.1,0.3,0.414,0.0,0.1,0.328,0.1,0.2,0.871,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
89,Pau Gasol,LAL,65,37.4,0.5,0.2,0.4,0.501,0.0,0.0,0.259,0.1,0.1,0.782,0.1,0.2,0.3,0.1,0.0,0.0,0.1,0.1
90,Shannon Brown,PHX,59,23.7,0.5,0.2,0.4,0.42,0.0,0.1,0.362,0.1,0.1,0.808,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0
91,Ben Gordon,DET,52,26.9,0.5,0.2,0.4,0.442,0.0,0.1,0.429,0.1,0.1,0.86,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
92,Gary Neal,SAS,56,21.5,0.5,0.2,0.4,0.436,0.1,0.2,0.419,0.0,0.1,0.781,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1
93,Thaddeus Young,PHI,63,27.9,0.5,0.2,0.4,0.507,0.0,0.0,0.25,0.1,0.1,0.771,0.1,0.1,0.2,0.0,0.0,0.0,0.0,0.1
94,Earl Barron,GSW,2,4.4,0.5,0.2,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.6
95,Jarrett Jack,NOP,45,34.0,0.5,0.2,0.4,0.456,0.0,0.1,0.348,0.1,0.1,0.872,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1
96,Nicolas Batum,POR,59,30.4,0.5,0.2,0.4,0.451,0.1,0.2,0.391,0.1,0.1,0.836,0.0,0.1,0.2,0.0,0.0,0.0,0.1,0.1
97,Anthony Morrow,NJN,62,26.4,0.5,0.2,0.4,0.413,0.1,0.2,0.371,0.1,0.1,0.933,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1
98,Kenneth Faried,DEN,46,22.5,0.5,0.2,0.3,0.586,0.0,0.0,0.0,0.1,0.2,0.665,0.1,0.2,0.3,0.0,0.0,0.0,0.1,0.1
99,Gerald Henderson,CHA,55,33.3,0.5,0.2,0.4,0.459,0.0,0.0,0.234,0.1,0.1,0.76,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
100,Alec Burks,UTA,59,15.9,0.5,0.2,0.4,0.429,0.0,0.0,0.333,0.1,0.2,0.727,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1
101,Isaiah Thomas,SAC,65,25.5,0.5,0.2,0.3,0.448,0.1,0.1,0.379,0.1,0.1,0.832,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1
102,Arron Afflalo,DEN,62,33.7,0.5,0.2,0.3,0.471,0.0,0.1,0.398,0.1,0.1,0.798,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1
103,John Wall,WAS,66,36.2,0.5,0.2,0.4,0.423,0.0,0.0,0.071,0.1,0.2,0.789,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1
104,J.R. Smith,NYK,35,27.6,0.5,0.2,0.4,0.407,0.1,0.2,0.347,0.0,0.1,0.709,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1
105,JaVale McGee,DEN,61,25.2,0.5,0.2,0.4,0.556,0.0,0.0,0.0,0.1,0.1,0.461,0.1,0.2,0.3,0.0,0.0,0.1,0.1,0.1
106,Chris Kaman,NOP,47,29.2,0.4,0.2,0.4,0.446,0.0,0.0,0.0,0.1,0.1,0.785,0.1,0.2,0.3,0.1,0.0,0.1,0.1,0.1
107,J.J. Barea,MIN,41,25.2,0.4,0.2,0.4,0.4,0.1,0.1,0.371,0.1,0.1,0.776,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1
108,DeJuan Blair,SAS,64,21.3,0.4,0.2,0.4,0.534,0.0,0.0,0.0,0.1,0.1,0.613,0.1,0.1,0.3,0.1,0.0,0.0,0.1,0.1
109,Linas Kleiza,TOR,49,21.6,0.4,0.2,0.4,0.402,0.1,0.2,0.346,0.1,0.1,0.81,0.0,0.1,0.2,0.0,0.0,0.0,0.1,0.1
110,Gary Forbes,TOR,48,14.9,0.4,0.2,0.4,0.413,0.0,0.1,0.349,0.1,0.1,0.725,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
111,Hakim Warrick,PHX,35,14.4,0.4,0.1,0.4,0.411,0.0,0.0,0.1,0.2,0.2,0.768,0.1,0.1,0.2,0.1,0.0,0.0,0.1,0.1
112,Kemba Walker,CHA,66,27.2,0.4,0.2,0.4,0.366,0.0,0.1,0.305,0.1,0.1,0.789,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.0
113,Jordan Hamilton,DEN,26,9.9,0.4,0.2,0.4,0.432,0.1,0.2,0.362,0.0,0.0,0.4,0.0,0.2,0.2,0.1,0.0,0.0,0.1,0.1
114,C.J. Miles,UTA,56,20.4,0.4,0.2,0.4,0.381,0.0,0.1,0.307,0.1,0.1,0.794,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1
115,Kyle Lowry,HOU,47,32.1,0.4,0.1,0.3,0.409,0.1,0.1,0.374,0.1,0.1,0.864,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1
116,Goran Dragic,HOU,66,26.5,0.4,0.2,0.3,0.462,0.0,0.1,0.337,0.1,0.1,0.805,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1
117,Zach Randolph,MEM,28,26.2,0.4,0.2,0.4,0.463,0.0,0.0,0.25,0.1,0.1,0.659,0.1,0.2,0.3,0.1,0.0,0.0,0.1,0.1
