Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality
Chauncey Billups,G,6-3,210,23,DEN,13,2,Colorado,1997 Rnd 1 Pick 3,United States
Mookie Blaylock,PG,6-1,190,32,GSW,73,10,Oklahoma,1989 Rnd 1 Pick 12,United States
Corie Blount,PF,6-9,240,31,PHX,38,6,Cincinnati,1993 Rnd 1 Pick 25,United States
Muggsy Bogues,PG,5-3,136,35,TOR,80,12,Wake Forest,1987 Rnd 1 Pick 12,United States
Etdrick Bohannon,F,6-9,220,26,"LAC, NYK",13,2,Auburn-Montgomery,"1997 NBA Draft, Undrafted",United States
Calvin Booth,C,6-11,230,23,WAS,11,0,Penn State,1999 Rnd 2 Pick 6,United States
Lazaro Borrell,F,6-8,220,27,SEA,17,0,Lobos de Villa Clara (Cuba),"1994 NBA Draft, Undrafted",United States Cuba
Cal Bowdler,PF,6-10,245,22,ATL,46,0,Old Dominion,1999 Rnd 1 Pick 17,United States
Bruce Bowen,F,6-7,200,28,"MIA, PHL",69,4,Cal State Fullerton,"1993 NBA Draft, Undrafted",United States
Ryan Bowen,F,6-9,218,24,DEN,52,0,Iowa,1998 Rnd 2 Pick 26,United States
Ira Bowman,SG,6-5,195,26,PHI,11,1,Pennsylvania,"1996 NBA Draft, Undrafted",United States
Earl Boykins,G,5-5,135,23,"CLE, ORL",26,1,Eastern Michigan,"1998 NBA Draft, Undrafted",United States
Shawn Bradley,C,7-6,235,27,DAL,77,6,Brigham Young,1993 Rnd 1 Pick 2,United States Germany
A.J. Bramlett,F,6-10,227,23,CLE,8,0,Arizona,1999 Rnd 2 Pick 10,United States
Elton Brand,PF,6-9,254,20,CHI,81,0,Duke,1999 Rnd 1 Pick 1,United States
Terrell Brandon,PG,5-11,180,29,MIN,71,8,Oregon,1991 Rnd 1 Pick 11,United States
Chucky Brown,SF,6-7,214,32,"CHA, SAN",63,10,NC State,1989 Rnd 2 Pick 16,United States
Dee Brown,PG,6-1,160,31,TOR,38,9,Jacksonville,1990 Rnd 1 Pick 19,United States
Marcus Brown,G,6-3,185,25,DET,6,2,Murray State,1996 Rnd 2 Pick 17,United States
P.J. Brown,C,6-11,225,30,MIA,80,6,Louisiana Tech,1992 Rnd 2 Pick 2,United States
Randy Brown,PG,6-2,190,31,CHI,59,8,New Mexico State,1991 Rnd 2 Pick 4,United States
Rick Brunson,SG,6-4,190,27,NYK,37,3,Temple,"1995 NBA Draft, Undrafted",United States
Kobe Bryant,SG,6-6,212,21,LAL,66,3,Lower Merion High School (Pennsylvania),1996 Rnd 1 Pick 13,United States
Mark Bryant,PF,6-9,245,34,CLE,75,11,Seton Hall,1988 Rnd 1 Pick 21,United States
Greg Buckner,G-F,6-4,210,23,DAL,48,1,Clemson,1998 Rnd 2 Pick 24,United States
Jud Buechler,SF,6-6,220,31,DET,58,9,Arizona,1990 Rnd 2 Pick 11,United States
Rodney Buford,SF,6-5,189,22,MIA,34,0,Creighton,1999 Rnd 2 Pick 24,United States
Matt Bullard,PF,6-10,215,32,HOU,56,8,Iowa,"1990 NBA Draft, Undrafted",United States
Scott Burrell,G-F,6-7,218,29,NJN,74,6,Connecticut,1993 Rnd 1 Pick 20,United States
Jason Caffey,PF,6-8,255,26,GSW,71,4,Alabama,1995 Rnd 1 Pick 20,United States
Michael Cage,PF,6-9,224,38,NJN,20,15,San Diego State,1984 Rnd 1 Pick 14,United States
Marcus Camby,C,6-11,240,25,NYK,59,3,Massachusetts,1996 Rnd 1 Pick 2,United States
Elden Campbell,FC,6-11,215,31,CHA,78,9,Clemson,1990 Rnd 1 Pick 27,United States
Antoine Carr,PF,6-9,225,38,VAN,21,15,Wichita State,1983 Rnd 1 Pick 8,United States
Chris Carr,G,6-5,207,25,"CHI, GOS",57,4,Southern Illinois,1995 Rnd 2 Pick 27,United States
Anthony Carter,PG,6-1,190,24,MIA,79,1,Hawaii,"1998 NBA Draft, Undrafted",United States
Vince Carter,SF,6-6,220,23,TOR,82,1,North Carolina,1998 Rnd 1 Pick 5,United States
Sam Cassell,G,6-3,185,30,MIL,81,6,Florida State,1993 Rnd 1 Pick 24,United States
Kelvin Cato,C,6-11,255,25,HOU,65,2,Iowa State,1997 Rnd 1 Pick 15,United States
Duane Causwell,C,7-0,240,31,MIA,25,9,Temple,1990 Rnd 1 Pick 18,United States
Cedric Ceballos,SF,6-6,190,30,DAL,69,9,Cal State Fullerton,1990 Rnd 2 Pick 21,United States
John Celestand,G,6-4,178,22,LAL,16,0,Villanova,1999 Rnd 2 Pick 1,United States
Rex Chapman,SG,6-4,185,32,PHX,53,11,Kentucky,1988 Rnd 1 Pick 8,United States
Calbert Cheaney,GF,6-7,209,28,BOS,67,6,Indiana,1993 Rnd 1 Pick 6,United States
Pete Chilcutt,F,6-10,230,31,"CLE, LAC, UTH",56,8,North Carolina,1991 Rnd 1 Pick 27,United States
Chris Childs,SG,6-3,195,32,NYK,71,6,Boise State,"1989 NBA Draft, Undrafted",United States
Doug Christie,SG,6-6,200,29,TOR,73,7,Pepperdine,1992 Rnd 1 Pick 17,United States
Keon Clark,C,6-11,221,24,DEN,81,1,UNLV,1998 Rnd 1 Pick 13,United States
Keith Closs,C,7-2,215,23,LAC,57,2,Central Connecticut State,"1997 NBA Draft, Undrafted",United States
Derrick Coleman,FC,6-10,230,32,CHA,74,9,Syracuse,1990 Rnd 1 Pick 1,United States
Bimbo Coles,SG,6-1,180,31,ATL,80,9,Virginia Tech,1990 Rnd 2 Pick 13,United States
Marty Conlon,F-C,6-10,224,32,LAC,3,9,Providence,"1990 NBA Draft, Undrafted",United States
Tyrone Corbin,F,6-6,210,37,SAC,54,14,DePaul,1985 Rnd 2 Pick 11,United States
Chris Crawford,PF,6-9,235,24,ATL,55,2,Marquette,1997 Rnd 2 Pick 22,United States
Austin Croshere,F,6-9,235,24,IND,81,2,Providence,1997 Rnd 1 Pick 12,United States
John Crotty,PG,6-1,185,30,DET,69,8,Virginia,"1991 NBA Draft, Undrafted",United States
Terry Cummings,PF,6-9,220,38,GSW,22,17,DePaul,1982 Rnd 1 Pick 2,United States
Vonteego Cummings,PG,6-4,190,24,GSW,75,0,Pittsburgh,1999 Rnd 1 Pick 26,United States
Bill Curley,F,6-9,220,27,"GOS, HOU",28,5,Boston College,1994 Rnd 1 Pick 22,United States
Dell Curry,SG,6-4,190,35,TOR,67,13,Virginia Tech,1986 Rnd 1 Pick 15,United States
Michael Curry,F-G,6-5,210,31,DET,82,6,Georgia Southern,"1990 NBA Draft, Undrafted",United States
Erick Dampier,C,6-11,265,24,GSW,21,3,Mississippi State,1996 Rnd 1 Pick 10,United States
Antonio Daniels,G,6-4,195,24,SAS,68,2,Bowling Green,1997 Rnd 1 Pick 4,United States
Kornel David,F,6-9,235,28,"CHI, CLE",32,2,,"1993 NBA Draft, Undrafted",Hungary
Antonio Davis,FC,6-9,245,31,TOR,79,6,UTEP,1990 Rnd 2 Pick 18,United States
Baron Davis,G,6-3,215,20,CHA,82,0,UCLA,1999 Rnd 1 Pick 3,United States
Ben Davis,FC,6-9,240,27,PHX,5,3,Arizona,1996 Rnd 2 Pick 14,United States
Dale Davis,C-F,6-11,252,30,IND,74,8,Clemson,1991 Rnd 1 Pick 13,United States
Emanual Davis,SG,6-4,195,31,SEA,54,4,Delaware State,"1991 NBA Draft, Undrafted",United States
Hubert Davis,SF,6-5,183,29,DAL,79,7,North Carolina,1992 Rnd 1 Pick 20,United States
Mark Davis,G-F,6-7,210,26,GSW,23,4,Texas Tech,1995 Rnd 2 Pick 19,United States
Ricky Davis,GF,6-7,195,20,CHA,48,1,Iowa,1998 Rnd 1 Pick 21,United States
Todd Day,GF,6-6,188,30,PHX,58,6,Arkansas,1992 Rnd 1 Pick 8,United States
Andrew DeClercq,C,6-10,230,27,CLE,82,4,Florida,1995 Rnd 2 Pick 5,United States
Vinny Del Negro,SG,6-4,185,33,MIL,67,9,NC State,1988 Rnd 2 Pick 4,United States
Tony Delk,G,6-1,189,26,SAC,46,3,Kentucky,1996 Rnd 1 Pick 16,United States
Derrick Dial,G,6-4,184,24,SAS,8,0,Eastern Michigan,1998 Rnd 2 Pick 23,United States
Michael Dickerson,SG,6-5,190,24,VAN,82,1,Arizona,1998 Rnd 1 Pick 14,United States
Vlade Divac,C,7-1,260,32,SAC,82,10,KK Partizan (Serbia),1989 Rnd 1 Pick 26,Serbia
Michael Doleac,C,6-11,262,22,ORL,81,1,Utah,1998 Rnd 1 Pick 12,United States
Sherman Douglas,PG,6-0,180,33,NJN,20,10,Syracuse,1989 Rnd 2 Pick 1,United States
Bryce Drew,SG,6-2,185,25,HOU,72,1,Valparaiso,1998 Rnd 1 Pick 16,United States
Chris Dudley,C,6-11,235,35,NYK,47,12,Yale,1987 Rnd 4 Pick 6,United States
Tim Duncan,FC,6-11,250,23,SAS,74,2,Wake Forest,1997 Rnd 1 Pick 1,United States
Howard Eisley,G,6-2,177,27,UTA,82,5,Boston College,1994 Rnd 2 Pick 3,United States
Obinna Ekezie,C,6-9,270,24,VAN,39,0,Maryland,1999 Rnd 2 Pick 8,Nigeria
Mario Elie,SG,6-5,210,36,SAS,79,9,American International,1985 Rnd 7 Pick 21,United States
Sean Elliott,SF,6-8,205,32,SAS,19,10,Arizona,1989 Rnd 1 Pick 3,United States
Dale Ellis,GF,6-7,205,39,"CHA, MIL",42,16,Tennessee,1983 Rnd 1 Pick 9,United States
LaPhonso Ellis,PF,6-8,240,29,ATL,58,7,Notre Dame,1992 Rnd 1 Pick 5,United States
Pervis Ellison,C,6-9,210,32,BOS,30,10,Louisville,1989 Rnd 1 Pick 1,United States
Evan Eschmeyer,C,6-11,255,24,NJN,31,0,Northwestern,1999 Rnd 2 Pick 5,United States
Patrick Ewing,C,7-0,240,37,NYK,62,14,Georgetown,1985 Rnd 1 Pick 1,United States Jamaica
Tony Farmer,F,6-9,244,30,GSW,74,5,Nebraska,"1991 NBA Draft, Undrafted",United States
Jamie Feick,F,6-9,255,25,NJN,81,3,Michigan State,1996 Rnd 2 Pick 19,United States
Danny Ferry,PF,6-10,230,33,CLE,63,9,Duke,1989 Rnd 1 Pick 2,United States
Michael Finley,G-F,6-7,225,26,DAL,82,4,Wisconsin,1995 Rnd 1 Pick 21,United States
Derek Fisher,G,6-1,210,25,LAL,78,3,Little Rock,1996 Rnd 1 Pick 24,United States
Danny Fortson,F,6-7,260,23,BOS,55,2,Cincinnati,1997 Rnd 1 Pick 10,United States
Greg Foster,C,6-11,240,31,SEA,60,9,UTEP,1990 Rnd 2 Pick 8,United States
Jeff Foster,C,6-11,236,23,IND,19,0,Texas State,1999 Rnd 1 Pick 21,United States
Rick Fox,SF,6-7,230,30,LAL,82,8,North Carolina,1991 Rnd 1 Pick 24,Canada Bahamas
Adonal Foyle,C,6-10,250,24,GSW,76,2,Colgate,1997 Rnd 1 Pick 8,Saint Vincent and the Grenadines United States
Steve Francis,G,6-3,195,23,HOU,77,0,Maryland,1999 Rnd 1 Pick 2,United States
Todd Fuller,C,6-11,255,25,CHA,41,3,NC State,1996 Rnd 1 Pick 11,United States
Lawrence Funderburke,PF,6-9,230,29,SAC,75,2,Ohio State,1994 Rnd 2 Pick 24,United States
Kevin Garnett,PF,6-11,240,23,MIN,81,4,Farragut Career Academy (Illinois),1995 Rnd 1 Pick 5,United States
Dean Garrett,C,6-10,225,33,MIN,56,6,Indiana,1988 Rnd 2 Pick 13,United States
Kiwane Garris,G,6-2,183,25,ORL,3,1,Illinois,"1997 NBA Draft, Undrafted",United States
Pat Garrity,F,6-9,238,23,ORL,82,1,Notre Dame,1998 Rnd 1 Pick 19,United States
Chris Gatling,PF,6-10,220,32,"DEN, ORL",85,8,Old Dominion,1991 Rnd 1 Pick 16,United States
Matt Geiger,C,7-0,243,30,PHI,65,7,Georgia Tech,1992 Rnd 2 Pick 15,United States
Devean George,F-G,6-8,235,22,LAL,49,0,Augsburg College,1999 Rnd 1 Pick 23,United States
Kendall Gill,SG,6-5,195,31,NJN,76,9,Illinois,1990 Rnd 1 Pick 5,United States
Armen Gilliam,PF,6-9,230,35,UTA,50,12,UNLV,1987 Rnd 1 Pick 2,United States
Dion Glover,GF,6-5,228,21,ATL,30,0,Georgia Tech,1999 Rnd 1 Pick 20,United States
Brian Grant,PF,6-9,254,27,POR,63,5,Xavier,1994 Rnd 1 Pick 8,United States
Gary Grant,G,6-3,185,34,POR,3,11,Michigan,1988 Rnd 1 Pick 15,United States
Horace Grant,PF,6-10,255,34,SEA,76,12,Clemson,1987 Rnd 1 Pick 10,United States
Devin Gray,F,6-7,240,27,HOU,21,2,Clemson,"1995 NBA Draft, Undrafted",United States
A.C. Green,PF,6-9,220,36,LAL,82,14,Oregon State,1985 Rnd 1 Pick 23,United States
Adrian Griffin,G-F,6-5,217,25,BOS,72,1,Seton Hall,"1996 NBA Draft, Undrafted",United States
Tom Gugliotta,PF,6-10,240,30,PHX,54,7,NC State,1992 Rnd 1 Pick 6,United States
Darvin Ham,F-G,6-7,220,26,MIL,35,2,Texas Tech,"1996 NBA Draft, Undrafted",United States
Richard Hamilton,SG,6-7,193,22,WAS,71,0,Connecticut,1999 Rnd 1 Pick 7,United States
Thomas Hamilton,C,7-2,330,24,HOU,22,4,King College Prep High School (Illinois),"1994 NBA Draft, Undrafted",United States
Tom Hammonds,PF,6-9,215,32,MIN,56,10,Georgia Tech,1989 Rnd 1 Pick 9,United States
Penny Hardaway,PG,6-7,195,28,PHX,60,6,Memphis,1993 Rnd 1 Pick 3,United States
Tim Hardaway,PG,6-0,175,33,MIA,52,10,UTEP,1989 Rnd 1 Pick 14,United States
Ron Harper,SG,6-6,185,36,LAL,80,13,Miami (OH),1986 Rnd 1 Pick 8,United States
Matt Harpring,F,6-7,230,23,ORL,4,1,Georgia Tech,1998 Rnd 1 Pick 15,United States
Al Harrington,F,6-9,245,20,IND,50,1,St. Patrick High School (New Jersey),1998 Rnd 1 Pick 25,United States
Othella Harrington,F-C,6-9,235,26,VAN,82,3,Georgetown,1996 Rnd 2 Pick 1,United States
Lucious Harris,SG,6-5,190,29,NJN,77,6,Long Beach State,1993 Rnd 2 Pick 1,United States
Antonio Harvey,C,6-11,225,29,POR,19,4,Pfeiffer,"1993 NBA Draft, Undrafted",United States
Hersey Hawkins,SG,6-3,190,33,CHI,61,11,Bradley,1988 Rnd 1 Pick 6,United States
Michael Hawkins,G,6-0,178,27,CHA,12,3,Xavier,"1995 NBA Draft, Undrafted",United States
Alan Henderson,F-C,6-9,235,27,ATL,82,4,Indiana,1995 Rnd 1 Pick 16,United States
Cedric Henderson,SF,6-7,215,24,CLE,61,2,Memphis,1997 Rnd 2 Pick 16,United States
Mark Hendrickson,F,6-9,220,25,"CLE, NJN",15,3,Washington State,1996 Rnd 2 Pick 2,United States
Chris Herren,G,6-2,197,24,DEN,45,0,Fresno State,1999 Rnd 2 Pick 4,United States
Grant Hill,SF,6-8,225,27,DET,74,5,Duke,1994 Rnd 1 Pick 3,United States
Tyrone Hill,PF,6-9,240,31,PHI,68,9,Xavier,1990 Rnd 1 Pick 11,United States
Fred Hoiberg,G,6-4,203,27,CHI,31,4,Iowa State,1995 Rnd 2 Pick 23,United States
Derek Hood,F,6-8,222,23,CHA,2,0,Arkansas,"1999 NBA Draft, Undrafted",United States
Jeff Hornacek,SG,6-3,190,36,UTA,77,13,Iowa State,1986 Rnd 2 Pick 22,United States
Robert Horry,PF,6-9,220,29,LAL,76,7,Alabama,1992 Rnd 1 Pick 11,United States
Allan Houston,G,6-6,205,28,NYK,82,6,Tennessee,1993 Rnd 1 Pick 11,United States
Juwan Howard,PF,6-9,240,27,WAS,82,5,Michigan,1994 Rnd 1 Pick 5,United States
Troy Hudson,G,6-1,170,23,LAC,62,2,Southern Illinois,"1997 NBA Draft, Undrafted",United States
Larry Hughes,G,6-5,184,21,"GOS, PHL",82,1,Saint Louis,1998 Rnd 1 Pick 8,United States
Rick Hughes,F,6-9,235,26,DAL,21,0,Thomas More,"1996 NBA Draft, Undrafted",United States
Lindsey Hunter,G,6-2,195,29,DET,82,6,Jackson State,1993 Rnd 1 Pick 10,United States
Allen Iverson,G,6-0,165,24,PHI,70,3,Georgetown,1996 Rnd 1 Pick 1,United States
Bobby Jackson,G,6-1,185,26,MIN,73,2,Minnesota,1997 Rnd 1 Pick 23,United States
Jaren Jackson,SG,6-4,190,32,SAS,81,8,Georgetown,"1989 NBA Draft, Undrafted",United States
Jermaine Jackson,G,6-4,204,23,DET,7,0,Detroit-Mercy,"1999 NBA Draft, Undrafted",United States
Jim Jackson,SG,6-6,220,29,ATL,79,7,Ohio State,1992 Rnd 1 Pick 4,United States
Mark Jackson,PG,6-1,180,34,IND,81,12,St. John's,1987 Rnd 1 Pick 18,United States
Randell Jackson,F,6-11,215,24,DAL,1,1,Florida State,"1998 NBA Draft, Undrafted",United States
Sam Jacobson,G,6-4,215,24,"GOS, LAL",52,1,Minnesota,1998 Rnd 1 Pick 26,United States
Tim James,F,6-7,212,23,MIA,4,0,Miami (FL),1999 Rnd 1 Pick 25,United States
Antawn Jamison,F,6-9,235,23,GSW,43,1,North Carolina,1998 Rnd 1 Pick 4,United States
Harold Jamison,PF,6-8,260,23,MIA,12,0,Clemson,"1999 NBA Draft, Undrafted",United States
Anthony Johnson,G,6-3,195,25,"ATL, ORL",56,2,Charleston,1997 Rnd 2 Pick 11,United States
Avery Johnson,PG,5-10,175,34,SAS,82,11,Southern,"1988 NBA Draft, Undrafted",United States
DeMarco Johnson,F,6-9,245,24,NYK,5,0,Charlotte,1998 Rnd 2 Pick 9,United States
Ervin Johnson,C,6-11,245,32,MIL,80,6,New Orleans,1993 Rnd 1 Pick 23,United States
Kevin Johnson,PG,6-1,180,33,PHX,6,11,California,1987 Rnd 1 Pick 7,United States
Larry Johnson,F,6-6,250,30,NYK,70,8,UNLV,1991 Rnd 1 Pick 1,United States
Charles R. Jones,G,6-3,180,24,LAC,56,1,Long Island,"1998 NBA Draft, Undrafted",United States
Damon Jones,G,6-3,185,23,"DAL, GOS",55,1,Houston,"1997 NBA Draft, Undrafted",United States
Eddie Jones,G-F,6-6,200,28,CHA,72,5,Temple,1994 Rnd 1 Pick 10,United States
Jumaine Jones,SF,6-8,218,21,PHI,33,0,Georgia,1999 Rnd 1 Pick 27,United States
Popeye Jones,PF,6-8,250,29,DEN,40,6,Murray State,1992 Rnd 2 Pick 14,United States
Reggie Jordan,G,6-4,195,31,WAS,36,5,New Mexico State,"1993 NBA Draft, Undrafted",United States
Adam Keefe,F,6-9,230,30,UTA,62,7,Stanford,1992 Rnd 1 Pick 10,United States
Shawn Kemp,C,6-10,280,30,CLE,82,10,Trinity Valley CC,1989 Rnd 1 Pick 17,United States
Steve Kerr,SG,6-3,175,34,SAS,32,11,Arizona,1988 Rnd 2 Pick 25,United States
Jerome Kersey,PF,6-7,215,37,SAS,72,15,Longwood,1984 Rnd 2 Pick 22,United States
Lari Ketner,F,6-9,277,23,"CHI, CLE",22,0,Massachusetts,1999 Rnd 2 Pick 20,United States
Jason Kidd,PG,6-4,210,26,PHX,67,5,California,1994 Rnd 1 Pick 2,United States
Gerard King,F,6-9,230,27,WAS,62,2,Nicholls State,"1995 NBA Draft, Undrafted",United States
Kerry Kittles,G,6-5,179,25,NJN,62,3,Villanova,1996 Rnd 1 Pick 8,United States
Joe Kleine,C,6-11,255,38,POR,7,14,Arkansas,1985 Rnd 1 Pick 6,United States
Brevin Knight,G,5-10,170,24,CLE,65,2,Stanford,1997 Rnd 1 Pick 16,United States
Travis Knight,C,7-0,235,25,LAL,63,3,Connecticut,1996 Rnd 1 Pick 29,United States
Toni Kukoc,SF,6-11,235,31,"CHI, PHL",56,6,KK Split (Croatia),1990 Rnd 2 Pick 2,Croatia
Raef LaFrentz,F,6-11,245,23,DEN,81,1,Kansas,1998 Rnd 1 Pick 3,United States
Rusty LaRue,SG,6-2,210,26,CHI,4,2,Wake Forest,"1996 NBA Draft, Undrafted",United States
Christian Laettner,PF,6-11,245,30,DET,82,7,Duke,1992 Rnd 1 Pick 3,United States
Andrew Lang,C,6-11,245,33,NYK,19,11,Arkansas,1988 Rnd 2 Pick 3,United States
Antonio Lang,G-F,6-8,205,27,"PHL, TOR",10,5,Duke,1994 Rnd 2 Pick 2,United States
Trajan Langdon,G,6-4,200,23,CLE,10,0,Duke,1999 Rnd 1 Pick 11,United States
Tim Legler,G,6-4,200,33,GSW,23,9,La Salle,"1988 NBA Draft, Undrafted",United States
Voshon Lenard,SG,6-4,205,26,MIA,53,4,Minnesota,1994 Rnd 2 Pick 19,United States
Quincy Lewis,SF,6-7,215,22,UTA,74,0,Minnesota,1999 Rnd 1 Pick 19,United States
Rashard Lewis,F,6-10,235,20,SEA,82,1,Alief Elsik High School (Texas),1998 Rnd 2 Pick 3,United States
Randy Livingston,GF,6-4,209,24,PHX,79,3,LSU,1996 Rnd 2 Pick 13,United States
Grant Long,PF,6-8,225,33,VAN,42,11,Eastern Michigan,1988 Rnd 2 Pick 8,United States
Luc Longley,C,7-3,298,31,PHX,72,8,New Mexico,1991 Rnd 1 Pick 7,Australia
Felipe Lopez,SF,6-5,199,25,VAN,65,1,St. John's,1998 Rnd 1 Pick 24,Dominican Republic
Tyronn Lue,G,6-0,170,22,LAL,8,1,Nebraska,1998 Rnd 1 Pick 23,United States
George Lynch,SF,6-8,218,29,PHI,75,6,North Carolina,1993 Rnd 1 Pick 12,United States
Todd MacCulloch,C,7-0,280,24,PHI,56,0,Washington,1999 Rnd 2 Pick 18,Canada
Don MacLean,PF,6-10,235,30,PHX,16,7,UCLA,1992 Rnd 1 Pick 19,United States
Sam Mack,SF,6-7,220,29,GSW,23,6,Houston,"1992 NBA Draft, Undrafted",United States
Corey Maggette,GF,6-6,225,20,ORL,77,0,Duke,1999 Rnd 1 Pick 13,United States
Dan Majerle,SG,6-6,215,34,MIA,69,11,Central Michigan,1988 Rnd 1 Pick 14,United States
Karl Malone,PF,6-9,265,36,UTA,82,14,Louisiana Tech,1985 Rnd 1 Pick 13,United States
Matt Maloney,PF,6-3,192,28,CHI,51,4,Pennsylvania,"1995 NBA Draft, Undrafted",United States
Danny Manning,F,6-10,230,33,MIL,72,11,Kansas,1988 Rnd 1 Pick 1,United States
Stephon Marbury,G,6-2,180,23,NJN,74,3,Georgia Tech,1996 Rnd 1 Pick 4,United States
Shawn Marion,F,6-7,228,21,PHX,51,0,UNLV,1999 Rnd 1 Pick 9,United States
Sean Marks,F-C,6-10,250,24,TOR,5,1,California,1998 Rnd 2 Pick 15,New Zealand
Donny Marshall,SF,6-7,230,27,CLE,6,4,Connecticut,1995 Rnd 2 Pick 10,United States
Donyell Marshall,F,6-9,245,26,GSW,64,5,Connecticut,1994 Rnd 1 Pick 4,United States
Darrick Martin,G,5-11,170,28,SAC,71,5,UCLA,"1992 NBA Draft, Undrafted",United States
Jamal Mashburn,SF,6-8,247,27,MIA,76,6,Kentucky,1993 Rnd 1 Pick 4,United States
Anthony Mason,PF,6-7,250,33,CHA,82,11,Tennessee State,1988 Rnd 3 Pick 3,United States
Tony Massenburg,PF,6-9,220,32,HOU,10,7,Maryland,1990 Rnd 2 Pick 16,United States
Vernon Maxwell,G,6-4,180,34,SEA,47,11,Florida,1988 Rnd 2 Pick 22,United States
Walter McCarty,F,6-10,230,26,BOS,61,3,Kentucky,1996 Rnd 1 Pick 19,United States
George McCloud,SF,6-6,205,32,DEN,78,9,Florida State,1989 Rnd 1 Pick 7,United States
Jelani McCoy,FC,6-10,245,22,SEA,58,1,UCLA,1998 Rnd 2 Pick 4,United States
Antonio McDyess,F,6-9,245,25,DEN,81,4,Alabama,1995 Rnd 1 Pick 2,United States
Tracy McGrady,GF,6-8,210,20,TOR,79,2,Mt. Zion Christian Academy (North Carolina),1997 Rnd 1 Pick 9,United States
Jim McIlvaine,C,7-1,240,27,NJN,66,5,Marquette,1994 Rnd 2 Pick 5,United States
Jeff McInnis,G,6-4,190,25,LAC,25,2,North Carolina,1996 Rnd 2 Pick 8,United States
Derrick McKey,SF,6-9,205,33,IND,32,12,Alabama,1987 Rnd 1 Pick 9,United States
Aaron McKie,G,6-5,209,27,PHI,82,5,Temple,1994 Rnd 1 Pick 17,United States
