Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality
Giannis Antetokounmpo,F,6-11,242,24,MIL,72,5,Filathlitikos Div II Greece (Greece),2013 Rnd 1 Pick 15,Greece Nigeria
Kostas Antetokounmpo,PF,6-10,200,21,DAL,2,0,Dayton,2018 Rnd 2 Pick 30,Greece United States
Carmelo Anthony,F,6-8,240,34,HOU,10,15,Syracuse,2003 Rnd 1 Pick 3,United States
OG Anunoby,SF,6-7,240,21,TOR,67,1,Indiana,2017 Rnd 1 Pick 23,England United States
Ryan Arcidiacono,G,6-3,195,24,CHI,81,1,Villanova,"2016 NBA Draft, Undrafted",United States
Trevor Ariza,SF,6-8,215,33,"PHX, WAS",69,14,UCLA,2004 Rnd 2 Pick 14,United States
D.J. Augustin,G,6-0,183,31,ORL,81,10,Texas,2008 Rnd 1 Pick 9,United States
Deandre Ayton,C,7-1,250,20,PHX,71,0,Arizona,2018 Rnd 1 Pick 1,Bahamas
Dwayne Bacon,SF,6-6,221,23,CHA,43,1,Florida State,2017 Rnd 2 Pick 10,United States
Marvin Bagley III,PF,6-11,235,19,SAC,62,0,Duke,2018 Rnd 1 Pick 2,United States
Ron Baker,G,6-4,220,25,"NYK, WAS",15,2,Wichita State,"2016 NBA Draft, Undrafted",United States
Wade Baldwin IV,G,6-4,220,22,POR,16,2,Vanderbilt,2016 Rnd 1 Pick 17,United States
Lonzo Ball,PG,6-6,190,21,LAL,47,1,UCLA,2017 Rnd 1 Pick 2,United States
Mohamed Bamba,C,7-0,230,20,ORL,47,0,Texas,2018 Rnd 1 Pick 6,United States
J.J. Barea,G,5-10,180,34,DAL,38,12,Northeastern,"2006 NBA Draft, Undrafted",Puerto Rico United States
Harrison Barnes,SF,6-8,225,26,"DAL, SAC",77,6,North Carolina,2012 Rnd 1 Pick 7,United States
Will Barton,GF,6-5,181,28,DEN,43,6,Memphis,2012 Rnd 2 Pick 10,United States
Keita Bates-Diop,SF,6-8,230,23,MIN,30,0,Ohio State,2018 Rnd 2 Pick 18,United States
Nicolas Batum,F,6-8,230,30,CHA,75,10,Le Mans Sarthe Basket (France),2008 Rnd 1 Pick 25,France
Jerryd Bayless,G,6-3,210,30,MIN,34,10,Arizona,2008 Rnd 1 Pick 11,United States
Aron Baynes,C,6-10,260,32,BOS,51,6,Washington State,"2009 NBA Draft, Undrafted",New Zealand Australia
Kent Bazemore,GF,6-4,195,29,ATL,67,6,Old Dominion,"2012 NBA Draft, Undrafted",United States
Bradley Beal,SG,6-3,207,25,WAS,82,6,Florida,2012 Rnd 1 Pick 3,United States
Malik Beasley,SG,6-4,187,22,DEN,81,2,Florida State,2016 Rnd 1 Pick 19,United States
Michael Beasley,PF,6-9,235,30,LAL,26,10,Kansas State,2008 Rnd 1 Pick 2,United States
Marco Belinelli,G,6-5,225,32,SAS,79,11,Fortituto Kontatto Bologna (Italy),2007 Rnd 1 Pick 18,Italy
Jordan Bell,PF,6-8,216,24,GSW,68,1,Oregon,2017 Rnd 2 Pick 8,United States
DeAndre' Bembry,GF,6-5,210,24,ATL,82,2,Saint Joseph's,2016 Rnd 1 Pick 21,United States
Dragan Bender,PF,7-1,235,21,PHX,46,2,Maccabi FOX Tel Aviv (Israel),2016 Rnd 1 Pick 4,Bosnia and Herzegovina Croatia
Dairis Bertans,SG,6-4,190,29,NOP,12,0,BK Ventspils (Latvia),"2011 NBA Draft, Undrafted",Latvia
Davis Bertans,SF,6-10,225,26,SAS,76,2,Union Olimpija (Slovenia),2011 Rnd 2 Pick 12,Latvia
Patrick Beverley,PG,6-1,180,30,LAC,78,6,Dnipro Dnipropetrovsk (Ukraine),2009 Rnd 2 Pick 12,United States
Khem Birch,PF,6-8,226,26,ORL,50,1,UNLV,"2014 NBA Draft, Undrafted",Canada
Bismack Biyombo,PF,6-9,255,26,CHA,54,7,Urbas Fuenlabrada (Spain),2011 Rnd 1 Pick 7,Democratic Republic of the Congo
Nemanja Bjelica,PF,6-10,235,30,SAC,77,3,KK Crvena Zvezda (Serbia),2010 Rnd 2 Pick 5,Serbia
Antonio Blakeney,SG,6-4,197,22,CHI,57,1,LSU,"2017 NBA Draft, Undrafted",United States
Eric Bledsoe,PG,6-1,214,29,MIL,78,8,Kentucky,2010 Rnd 1 Pick 18,United States
Jaron Blossomgame,F,6-8,220,25,CLE,27,0,Clemson,2017 Rnd 2 Pick 29,United States
Bogdan Bogdanovic,SG,6-6,220,26,SAC,70,1,KK Partizan (Serbia),2014 Rnd 1 Pick 27,Serbia
Bojan Bogdanovic,F,6-8,216,29,IND,81,4,KK Cibona (Croatia),2011 Rnd 2 Pick 1,Bosnia and Herzegovina Croatia
Andrew Bogut,C,7-0,260,34,GSW,11,13,Utah,2005 Rnd 1 Pick 1,Australia
Jonah Bolden,SF,6-10,220,23,PHI,44,0,FMP Beograd (Serbia),2017 Rnd 2 Pick 6,Australia
Isaac Bonga,SG,6-8,180,19,LAL,22,0,Fraport Skyliners (Germany),2018 Rnd 2 Pick 9,Germany
Devin Booker,SG,6-6,206,22,PHX,64,3,Kentucky,2015 Rnd 1 Pick 13,United States
Chris Boucher,PF,6-9,198,26,TOR,28,1,Oregon,"2017 NBA Draft, Undrafted",Saint Lucia Canada
Avery Bradley,PG,6-3,180,28,"LAC, MEM",63,8,Texas,2010 Rnd 1 Pick 19,United States
Tony Bradley,C,6-10,248,21,UTA,3,1,North Carolina,2017 Rnd 1 Pick 28,United States
Corey Brewer,GF,6-9,186,32,"PHL, SAC",31,11,Florida,2007 Rnd 1 Pick 7,United States
Mikal Bridges,SG,6-7,210,22,PHX,82,0,Villanova,2018 Rnd 1 Pick 10,United States
Miles Bridges,SF,6-7,225,20,CHA,80,0,Michigan State,2018 Rnd 1 Pick 12,United States
Isaiah Briscoe,PG,6-3,210,22,ORL,39,0,Kentucky,"2017 NBA Draft, Undrafted",United States
Ryan Broekhoff,SF,6-7,215,28,DAL,42,0,Valparaiso,"2013 NBA Draft, Undrafted",Australia
Malcolm Brogdon,SG,6-5,229,26,MIL,64,2,Virginia,2016 Rnd 2 Pick 6,United States
Dillon Brooks,F,6-6,220,23,MEM,18,1,Oregon,2017 Rnd 2 Pick 15,Canada
MarShon Brooks,GF,6-5,200,30,MEM,29,4,Providence,2011 Rnd 1 Pick 25,United States
Jaylen Brown,SF,6-6,220,22,BOS,74,2,California,2016 Rnd 1 Pick 3,United States
"Bruce Brown, Jr.",SG,6-4,202,22,DET,74,0,Miami (FL),2018 Rnd 2 Pick 12,United States
"Troy Brown, Jr.",SF,6-6,215,19,WAS,52,0,Oregon,2018 Rnd 1 Pick 15,United States
Lorenzo Brown,SG,6-5,189,28,TOR,26,4,NC State,2013 Rnd 2 Pick 22,United States Spain
Sterling Brown,G,6-5,219,24,MIL,58,1,Southern Methodist,2017 Rnd 2 Pick 16,United States
Jalen Brunson,PG,6-1,190,22,DAL,73,0,Villanova,2018 Rnd 2 Pick 3,United States
Thomas Bryant,C,6-10,248,21,WAS,72,1,Indiana,2017 Rnd 2 Pick 12,United States
Reggie Bullock,SG,6-6,205,27,"DET, LAL",63,5,North Carolina,2013 Rnd 1 Pick 25,United States
Trey Burke,G,6-0,185,26,"DAL, NYK",58,5,Michigan,2013 Rnd 1 Pick 9,United States
Alec Burks,SG,6-6,214,27,"CLE, SAC, UTH",64,7,Colorado,2011 Rnd 1 Pick 12,United States
Deonte Burton,F,6-4,240,25,OKC,32,0,Iowa State,"2017 NBA Draft, Undrafted",United States
Jimmy Butler,GF,6-8,232,29,"MIN, PHL",65,7,Marquette,2011 Rnd 1 Pick 30,United States
Bruno Caboclo,PF,6-9,218,23,MEM,34,4,Pinheiros/Sky (Brazil),2014 Rnd 1 Pick 20,Brazil
Jose Calderon,G,6-3,200,37,DET,49,13,Baskonia (Spain),"2003 NBA Draft, Undrafted",Spain
Kentavious Caldwell-Pope,SG,6-5,204,26,LAL,82,5,Georgia,2013 Rnd 1 Pick 8,United States
Isaiah Canaan,G,6-0,200,27,"MIL, MIN, PHX",30,5,Murray State,2013 Rnd 2 Pick 4,United States
Clint Capela,PF,6-10,240,24,HOU,67,4,Chalon-Sur-Saone (France),2014 Rnd 1 Pick 25,Switzerland
DeMarre Carroll,F,6-8,215,32,BRK,67,9,Missouri,2009 Rnd 1 Pick 27,United States
Jevon Carter,PG,6-1,195,23,MEM,39,0,West Virginia,2018 Rnd 2 Pick 2,United States
"Wendell Carter, Jr.",PF,6-10,265,19,CHI,44,0,Duke,2018 Rnd 1 Pick 7,United States
Vince Carter,SF,6-6,220,42,ATL,76,20,North Carolina,1998 Rnd 1 Pick 5,United States
Michael Carter-Williams,PG,6-6,195,27,"HOU, ORL",28,5,Syracuse,2013 Rnd 1 Pick 11,United States
Alex Caruso,G,6-5,186,25,LAL,25,1,Texas A&M,"2016 NBA Draft, Undrafted",United States
Omri Casspi,F,6-9,225,30,MEM,36,9,Maccabi FOX Tel Aviv (Israel),2009 Rnd 1 Pick 23,Israel
Willie Cauley-Stein,C,7-0,240,25,SAC,81,3,Kentucky,2015 Rnd 1 Pick 6,United States
Troy Caupain,G,6-4,210,23,ORL,4,0,Cincinnati,"2017 NBA Draft, Undrafted",United States
Tyler Cavanaugh,F,6-9,240,25,UTA,11,1,George Washington,"2017 NBA Draft, Undrafted",United States
Tyson Chandler,C,7-1,240,36,"LAL, PHX",55,17,Dominguez High School (California),2001 Rnd 1 Pick 2,United States
Wilson Chandler,SF,6-9,225,31,"LAC, PHL",51,11,DePaul,2007 Rnd 1 Pick 23,United States
Joe Chealey,PG,6-4,190,23,CHA,1,0,Charleston,"2018 NBA Draft, Undrafted",United States
Chris Chiozza,PG,5-11,179,23,HOU,7,0,Florida,"2018 NBA Draft, Undrafted",United States
Marquese Chriss,PF,6-9,240,21,"CLE, HOU",43,2,Washington,2016 Rnd 1 Pick 8,United States
Gary Clark,SF,6-6,225,24,HOU,51,0,Cincinnati,"2018 NBA Draft, Undrafted",United States
Ian Clark,G,6-3,175,27,NOP,60,5,Belmont,"2013 NBA Draft, Undrafted",United States
Jordan Clarkson,G,6-5,192,26,CLE,81,4,Missouri,2014 Rnd 2 Pick 16,United States Philippines
John Collins,PF,6-9,235,21,ATL,61,1,Wake Forest,2017 Rnd 1 Pick 19,United States
Zach Collins,C,6-11,250,21,POR,77,1,Gonzaga,2017 Rnd 1 Pick 10,United States
Darren Collison,PG,6-0,175,31,IND,76,9,UCLA,2009 Rnd 1 Pick 21,United States
"Bonzie Colson, Jr.",PF,6-5,225,23,MIL,8,0,Notre Dame,"2018 NBA Draft, Undrafted",United States
Mike Conley,PG,6-1,175,31,MEM,70,11,Ohio State,2007 Rnd 1 Pick 4,United States
Pat Connaughton,SF,6-4,209,26,MIL,61,3,Notre Dame,2015 Rnd 2 Pick 11,United States
Quinn Cook,PG,6-1,180,25,GSW,74,2,Duke,"2015 NBA Draft, Undrafted",United States
DeMarcus Cousins,C,6-11,270,28,GSW,30,8,Kentucky,2010 Rnd 1 Pick 5,United States
Robert Covington,F,6-7,209,28,"MIN, PHL",35,5,Tennessee State,"2013 NBA Draft, Undrafted",United States
Allen Crabbe,SG,6-6,212,26,BRK,43,5,California,2013 Rnd 2 Pick 1,United States
Torrey Craig,GF,6-7,221,28,DEN,75,1,USC Upstate,"2014 NBA Draft, Undrafted",United States
Jamal Crawford,SG,6-5,195,38,PHX,64,18,Michigan,2000 Rnd 1 Pick 8,United States
Mitchell Creek,G,6-6,225,26,"BRK, MIN",5,0,Adelaide (Australia),"2014 NBA Draft, Undrafted",Australia
Jae Crowder,SF,6-6,235,28,UTA,80,6,Marquette,2012 Rnd 2 Pick 4,United States
Dante Cunningham,F,6-8,230,31,SAS,64,9,Villanova,2009 Rnd 2 Pick 3,United States
Seth Curry,G,6-1,190,28,POR,74,5,Duke,"2013 NBA Draft, Undrafted",United States
Stephen Curry,G,6-3,198,30,GSW,69,9,Davidson,2009 Rnd 1 Pick 7,United States
Troy Daniels,G,6-4,205,27,PHX,51,5,VCU,"2013 NBA Draft, Undrafted",United States
Anthony Davis,PF,6-10,253,25,NOP,56,6,Kentucky,2012 Rnd 1 Pick 1,United States
Deyonta Davis,PF,6-9,237,22,ATL,9,2,Michigan State,2016 Rnd 2 Pick 1,United States
Ed Davis,PF,6-9,218,29,BRK,81,8,North Carolina,2010 Rnd 1 Pick 13,United States
Tyler Davis,C,6-10,266,21,OKC,1,0,Texas A&M,"2018 NBA Draft, Undrafted",United States Puerto Rico
DeMar DeRozan,GF,6-6,220,29,SAS,77,9,USC,2009 Rnd 1 Pick 9,United States
Dewayne Dedmon,PF,7-0,245,29,ATL,64,5,USC,"2013 NBA Draft, Undrafted",United States
Sam Dekker,SF,6-9,230,24,"CLE, WAS",47,3,Wisconsin,2015 Rnd 1 Pick 18,United States
Angel Delgado,C,6-10,230,24,LAC,2,0,Seton Hall,"2018 NBA Draft, Undrafted",Dominican Republic
Matt Dellavedova,G,6-3,200,28,"CLE, MIL",48,5,Saint Mary's,"2013 NBA Draft, Undrafted",Australia
Luol Deng,GF,6-9,220,33,MIN,22,14,Duke,2004 Rnd 1 Pick 7,England South Sudan
Marcus Derrickson,PF,6-7,271,23,GSW,11,0,Georgetown,"2018 NBA Draft, Undrafted",United States
Donte DiVincenzo,SG,6-4,206,22,MIL,27,0,Villanova,2018 Rnd 1 Pick 17,United States
Cheick Diallo,PF,6-8,219,22,NOP,64,2,Kansas,2016 Rnd 2 Pick 3,Mali
Hamidou Diallo,SG,6-5,202,20,OKC,51,0,Kentucky,2018 Rnd 2 Pick 15,United States Guinea
Gorgui Dieng,FC,6-10,250,29,MIN,76,5,Louisville,2013 Rnd 1 Pick 21,Senegal
Spencer Dinwiddie,PG,6-5,215,25,BRK,68,4,Colorado,2014 Rnd 2 Pick 8,United States
Luka Doncic,SF,6-7,230,20,DAL,72,0,Real Madrid (Spain),2018 Rnd 1 Pick 3,Slovenia
Tyler Dorsey,SG,6-5,183,23,"ATL, MEM",48,1,Oregon,2017 Rnd 2 Pick 11,United States Greece
Damyean Dotson,SG,6-5,205,24,NYK,73,1,Houston,2017 Rnd 2 Pick 14,United States
P.J. Dozier,PG,6-6,205,22,BOS,6,1,South Carolina,"2017 NBA Draft, Undrafted",United States
Goran Dragic,G,6-3,190,32,MIA,36,10,Union Olimpija (Slovenia),2008 Rnd 2 Pick 15,Slovenia
Andre Drummond,C,6-10,279,25,DET,79,6,Connecticut,2012 Rnd 1 Pick 9,United States
Jared Dudley,PF,6-7,237,33,BRK,59,11,Boston College,2007 Rnd 1 Pick 22,United States
Kris Dunn,SG,6-3,205,24,CHI,46,2,Providence,2016 Rnd 1 Pick 5,United States
Kevin Durant,SF,6-10,225,30,GSW,78,11,Texas,2007 Rnd 1 Pick 2,United States
Trevon Duval,PG,6-3,186,20,MIL,3,0,Duke,"2018 NBA Draft, Undrafted",United States
Vince Edwards,SF,6-8,225,22,HOU,2,0,Purdue,2018 Rnd 2 Pick 22,United States
Henry Ellenson,PF,6-10,240,22,"DET, NYK",19,2,Marquette,2016 Rnd 1 Pick 18,United States
Wayne Ellington,SG,6-4,207,31,"DET, MIA",53,9,North Carolina,2009 Rnd 1 Pick 28,United States
Joel Embiid,C,7-0,280,24,PHI,64,4,Kansas,2014 Rnd 1 Pick 3,Cameroon
James Ennis,GF,6-6,215,28,"HOU, PHL",58,4,Long Beach State,2013 Rnd 2 Pick 20,United States
Drew Eubanks,C,6-9,245,22,SAS,23,0,Oregon State,"2018 NBA Draft, Undrafted",United States
Jacob Evans,SG,6-6,210,21,GSW,30,0,Cincinnati,2018 Rnd 1 Pick 28,United States
Jawun Evans,PG,6-0,190,22,"OKC, PHX",8,1,Oklahoma State,2017 Rnd 2 Pick 9,United States
Tyreke Evans,G,6-6,220,29,IND,69,9,Memphis,2009 Rnd 1 Pick 4,United States
Dante Exum,PG,6-5,214,23,UTA,42,4,Australian Institute of Sport (Australian Capital Territory),2014 Rnd 1 Pick 5,Australia
Kenneth Faried,F,6-8,220,29,"BRK, HOU",37,7,Morehead State,2011 Rnd 1 Pick 22,United States
Derrick Favors,FC,6-10,265,27,UTA,76,8,Georgia Tech,2010 Rnd 1 Pick 3,United States
Cristiano Felicio,C,6-10,275,26,CHI,60,3,Minas (Brazil),"2014 NBA Draft, Undrafted",Brazil
Raymond Felton,PG,6-1,205,34,OKC,33,13,North Carolina,2005 Rnd 1 Pick 5,United States
Terrance Ferguson,SG,6-7,190,20,OKC,74,1,Adelaide (Australia),2017 Rnd 1 Pick 21,United States
Yogi Ferrell,G,6-0,180,25,SAC,71,2,Indiana,"2016 NBA Draft, Undrafted",United States
Dorian Finney-Smith,SF,6-7,220,25,DAL,81,2,Florida,"2016 NBA Draft, Undrafted",United States
Bryn Forbes,G,6-2,205,25,SAS,82,2,Michigan State,"2016 NBA Draft, Undrafted",United States
Evan Fournier,SG,6-7,205,26,ORL,81,6,Poitiers Basket 86 (France),2012 Rnd 1 Pick 20,France
De'Aaron Fox,PG,6-3,185,21,SAC,81,1,Kentucky,2017 Rnd 1 Pick 5,United States
"Melvin Frazier, Jr.",SF,6-5,215,22,ORL,10,0,Tulane,2018 Rnd 2 Pick 5,United States
Tim Frazier,G,6-0,172,28,"MIL, NOP",59,4,Penn State,"2014 NBA Draft, Undrafted",United States
Jimmer Fredette,G,6-2,195,30,PHX,6,5,Brigham Young,2011 Rnd 1 Pick 10,United States
Enes Freedom,F,6-10,250,26,"NYK, POR",67,7,Kentucky,2011 Rnd 1 Pick 3,Switzerland Turkey
Channing Frye,FC,7-0,255,35,CLE,36,13,Arizona,2005 Rnd 1 Pick 8,United States
Markelle Fultz,PG,6-4,210,20,PHI,19,1,Washington,2017 Rnd 1 Pick 1,United States
Danilo Gallinari,SF,6-10,233,30,LAC,68,10,AX Armani Exchange Milan (Italy),2008 Rnd 1 Pick 6,Italy
Langston Galloway,G,6-1,200,27,DET,80,4,Saint Joseph's,"2014 NBA Draft, Undrafted",United States
Billy Garrett,SG,6-6,215,24,NYK,4,0,DePaul,"2017 NBA Draft, Undrafted",United States
Marc Gasol,C,7-1,255,34,"MEM, TOR",79,10,CB Girona (Spain),2007 Rnd 2 Pick 18,Spain
Pau Gasol,FC,7-0,250,38,"MIL, SAN",30,17,Barca (Spain),2001 Rnd 1 Pick 3,Spain
Rudy Gay,SF,6-8,240,32,SAS,69,12,Connecticut,2006 Rnd 1 Pick 8,United States
Paul George,GF,6-8,220,28,OKC,77,8,Fresno State,2010 Rnd 1 Pick 10,United States
Taj Gibson,F,6-9,232,33,MIN,70,9,USC,2009 Rnd 1 Pick 26,United States
Harry Giles,PF,6-11,240,20,SAC,58,1,Duke,2017 Rnd 1 Pick 20,United States
Shai Gilgeous-Alexander,PG,6-6,195,20,LAC,82,0,Kentucky,2018 Rnd 1 Pick 11,Canada
Rudy Gobert,C,7-1,256,26,UTA,81,5,Cholet Basket (France),2013 Rnd 1 Pick 27,France
Brandon Goodwin,PG,6-0,180,23,DEN,16,0,Florida Gulf Coast,"2018 NBA Draft, Undrafted",United States
Aaron Gordon,F,6-8,235,23,ORL,78,4,Arizona,2014 Rnd 1 Pick 4,United States
Eric Gordon,G,6-3,215,30,HOU,68,10,Indiana,2008 Rnd 1 Pick 7,United States
Marcin Gortat,FC,6-11,240,35,LAC,47,11,Koln 99ers (Germany),2005 Rnd 2 Pick 27,Poland
Devonte' Graham,PG,6-1,195,24,CHA,46,0,Kansas,2018 Rnd 2 Pick 4,United States
Treveon Graham,GF,6-5,225,25,BRK,35,2,VCU,"2015 NBA Draft, Undrafted",United States
Jerami Grant,F,6-8,210,24,OKC,80,4,Syracuse,2014 Rnd 2 Pick 9,United States
Jerian Grant,SG,6-4,198,26,ORL,60,3,Notre Dame,2015 Rnd 1 Pick 19,United States
Donte Grantham,PF,6-8,215,23,OKC,3,0,Clemson,"2018 NBA Draft, Undrafted",United States
Danny Green,SF,6-6,220,31,TOR,80,9,North Carolina,2009 Rnd 2 Pick 16,United States
Draymond Green,F,6-6,234,28,GSW,66,6,Michigan State,2012 Rnd 2 Pick 5,United States
Gerald Green,GF,6-7,205,33,HOU,73,11,Gulf Shores Academy (Texas),2005 Rnd 1 Pick 18,United States
JaMychal Green,PF,6-8,227,28,"LAC, MEM",65,4,Alabama,"2012 NBA Draft, Undrafted",United States
Jeff Green,F,6-8,235,32,WAS,77,10,Georgetown,2007 Rnd 1 Pick 5,United States
Blake Griffin,PF,6-9,246,29,DET,75,9,Oklahoma,2009 Rnd 1 Pick 1,United States
Daniel Hamilton,SG,6-7,195,23,ATL,19,1,Connecticut,2016 Rnd 2 Pick 26,United States
Gerald Hannahs,GF,6-3,210,25,MEM,2,0,Arkansas,"2017 NBA Draft, Undrafted",United States
Tim Hardaway Jr.,SG,6-5,205,26,"DAL, NYK",65,5,Michigan,2013 Rnd 1 Pick 24,United States
James Harden,SG,6-5,220,29,HOU,78,9,Arizona State,2009 Rnd 1 Pick 3,United States
Maurice Harkless,F,6-9,220,25,POR,60,6,St. John's,2012 Rnd 1 Pick 15,United States Puerto Rico
Montrezl Harrell,F,6-7,240,25,LAC,82,3,Louisville,2015 Rnd 2 Pick 2,United States
Devin Harris,G,6-3,185,36,DAL,68,14,Wisconsin,2004 Rnd 1 Pick 5,United States
Gary Harris,SG,6-4,210,24,DEN,57,4,Michigan State,2014 Rnd 1 Pick 19,United States
Joe Harris,SG,6-6,215,27,BRK,76,4,Virginia,2014 Rnd 2 Pick 3,United States
Tobias Harris,F,6-7,230,26,"LAC, PHL",82,7,Tennessee,2011 Rnd 1 Pick 19,United States
Andrew Harrison,G,6-4,210,24,"CLE, MEM, NOP",17,2,Kentucky,2015 Rnd 2 Pick 14,United States
Shaquille Harrison,G,6-3,195,25,CHI,73,1,Tulsa,"2016 NBA Draft, Undrafted",United States
Josh Hart,SG,6-5,215,23,LAL,67,1,Villanova,2017 Rnd 1 Pick 30,United States
Isaiah Hartenstein,PF,7-0,250,20,HOU,28,0,Zalgiris (Lithuania),2017 Rnd 2 Pick 13,United States Germany
Udonis Haslem,FC,6-8,235,38,MIA,10,15,Florida,"2002 NBA Draft, Undrafted",United States
Gordon Hayward,GF,6-7,225,28,BOS,72,8,Butler,2010 Rnd 1 Pick 9,United States
John Henson,PF,6-11,219,28,MIL,14,6,North Carolina,2012 Rnd 1 Pick 14,United States
Juancho Hernangomez,F,6-9,215,23,DEN,70,2,Movistar Estudiantes (Spain),2016 Rnd 1 Pick 15,Spain
Willy Hernangomez,C,6-11,250,24,CHA,58,2,Cajasol Seville U18 (Spain),2015 Rnd 2 Pick 5,Spain
Mario Hezonja,SG,6-8,220,24,NYK,58,3,FC Barcelona II (Spain),2015 Rnd 1 Pick 5,Croatia
Isaiah Hicks,PF,6-8,233,24,NYK,3,1,North Carolina,"2017 NBA Draft, Undrafted",United States
Buddy Hield,G,6-4,220,26,SAC,82,2,Oklahoma,2016 Rnd 1 Pick 6,Bahamas
Haywood Highsmith,F,6-7,220,22,PHI,5,0,Wheeling Jesuit,"2018 NBA Draft, Undrafted",United States
George Hill,G,6-3,188,32,"CLE, MIL",60,10,IUPUI,2008 Rnd 1 Pick 26,United States
Solomon Hill,SF,6-6,226,27,NOP,44,5,Arizona,2013 Rnd 1 Pick 23,United States
Aaron Holiday,PG,6-0,185,22,IND,50,0,UCLA,2018 Rnd 1 Pick 23,United States
Jrue Holiday,G,6-4,205,28,NOP,67,9,UCLA,2009 Rnd 1 Pick 17,United States
Justin Holiday,SF,6-6,181,29,"CHI, MEM",82,5,Washington,"2011 NBA Draft, Undrafted",United States
John Holland,SF,6-5,205,30,CLE,1,2,Boston University,"2011 NBA Draft, Undrafted",United States Puerto Rico
Rondae Hollis-Jefferson,SF,6-6,217,24,BRK,59,3,Arizona,2015 Rnd 1 Pick 23,United States
Richaun Holmes,F,6-10,240,25,PHX,70,3,Bowling Green,2015 Rnd 2 Pick 7,United States
Rodney Hood,F,6-8,205,26,"CLE, POR",72,4,Duke,2014 Rnd 1 Pick 23,United States
Al Horford,FC,6-9,240,32,BOS,68,11,Florida,2007 Rnd 1 Pick 3,Dominican Republic United States
Danuel House,F,6-6,215,25,HOU,39,2,Texas A&M,"2016 NBA Draft, Undrafted",United States
Dwight Howard,C,6-11,265,33,WAS,9,14,Southwest Atlanta Christian Academy (Georgia),2004 Rnd 1 Pick 1,United States
Kevin Huerter,SF,6-7,190,20,ATL,75,0,Maryland,2018 Rnd 1 Pick 19,United States
Isaac Humphries,C,6-11,255,21,ATL,5,0,Kentucky,"2017 NBA Draft, Undrafted",Australia
R.J. Hunter,G,6-6,190,25,BOS,1,3,Georgia State,2015 Rnd 1 Pick 28,United States
Chandler Hutchison,SG,6-7,197,22,CHI,44,0,Boise State,2018 Rnd 1 Pick 22,United States
Serge Ibaka,C,6-10,235,29,TOR,74,9,CB L'Hospitalet (Spain),2008 Rnd 1 Pick 24,Republic of the Congo Spain
Andre Iguodala,SF,6-6,215,35,GSW,68,14,Arizona,2004 Rnd 1 Pick 9,United States
Ersan Ilyasova,F,6-10,235,31,MIL,67,11,Alpella B.K. (Turkey),2005 Rnd 2 Pick 6,Turkey
Joe Ingles,F,6-8,226,31,UTA,82,4,Melbourne South (Australia),"2009 NBA Draft, Undrafted",Australia
Andre Ingram,G,6-3,184,33,LAL,4,1,American University,"2007 NBA Draft, Undrafted",United States
Brandon Ingram,SF,6-7,190,21,LAL,52,2,Duke,2016 Rnd 1 Pick 2,United States
Kyrie Irving,G,6-2,191,26,BOS,67,7,Duke,2011 Rnd 1 Pick 1,United States Australia
Jonathan Isaac,SF,6-10,230,21,ORL,75,1,Florida State,2017 Rnd 1 Pick 6,United States
Wesley Iwundu,F,6-6,195,24,ORL,68,1,Kansas State,2017 Rnd 2 Pick 3,United States
