Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality
Christian Laettner,PF,6-11,245,32,WAS,57,9,Duke,1992 Rnd 1 Pick 3,United States
Trajan Langdon,G,6-4,200,25,CLE,44,2,Duke,1999 Rnd 1 Pick 11,United States
Dan Langhi,FC,6-11,220,24,HOU,34,1,Vanderbilt,2000 Rnd 2 Pick 2,United States
Voshon Lenard,SG,6-4,205,28,DEN,71,6,Minnesota,1994 Rnd 2 Pick 19,United States
Quincy Lewis,SF,6-7,215,24,UTA,36,2,Minnesota,1999 Rnd 1 Pick 19,United States
Rashard Lewis,F,6-10,235,22,SEA,71,3,Alief Elsik High School (Texas),1998 Rnd 2 Pick 3,United States
Randy Livingston,GF,6-4,209,26,SEA,13,5,LSU,1996 Rnd 2 Pick 13,United States
Art Long,PF,6-9,250,29,SEA,63,4,Cincinnati,"1996 NBA Draft, Undrafted",United States
Grant Long,PF,6-8,225,35,MEM,66,13,Eastern Michigan,1988 Rnd 2 Pick 8,United States
Felipe Lopez,SF,6-5,199,27,MIN,67,3,St. John's,1998 Rnd 1 Pick 24,Dominican Republic
Tyronn Lue,G,6-0,170,24,WAS,71,3,Nebraska,1998 Rnd 1 Pick 23,United States
George Lynch,SF,6-8,218,31,CHA,45,8,North Carolina,1993 Rnd 1 Pick 12,United States
Todd MacCulloch,C,7-0,280,26,NJN,62,2,Washington,1999 Rnd 2 Pick 18,Canada
Sam Mack,SF,6-7,220,31,MIA,12,7,Houston,"1992 NBA Draft, Undrafted",United States
Mark Madsen,C-F,6-9,240,26,LAL,59,1,Stanford,2000 Rnd 1 Pick 29,United States
Corey Maggette,GF,6-6,225,22,LAC,63,2,Duke,1999 Rnd 1 Pick 13,United States
Jamaal Magloire,C,6-11,259,23,CHA,82,1,Kentucky,2000 Rnd 1 Pick 19,Canada
Dan Majerle,SG,6-6,215,36,PHX,65,13,Central Michigan,1988 Rnd 1 Pick 14,United States
Karl Malone,PF,6-9,265,38,UTA,80,16,Louisiana Tech,1985 Rnd 1 Pick 13,United States
Danny Manning,F,6-10,230,35,DAL,41,13,Kansas,1988 Rnd 1 Pick 1,United States
Stephon Marbury,G,6-2,180,25,PHX,82,5,Georgia Tech,1996 Rnd 1 Pick 4,United States
Shawn Marion,F,6-7,228,23,PHX,81,2,UNLV,1999 Rnd 1 Pick 9,United States
Sean Marks,F-C,6-10,250,26,MIA,21,3,California,1998 Rnd 2 Pick 15,New Zealand
Donny Marshall,SF,6-7,230,29,NJN,20,4,Connecticut,1995 Rnd 2 Pick 10,United States
Donyell Marshall,F,6-9,245,28,UTA,58,7,Connecticut,1994 Rnd 1 Pick 4,United States
Darrick Martin,G,5-11,170,30,DAL,3,7,UCLA,"1992 NBA Draft, Undrafted",United States
Kenyon Martin,F,6-9,240,24,NJN,73,1,Cincinnati,2000 Rnd 1 Pick 1,United States
Jamal Mashburn,SF,6-8,247,29,CHA,40,8,Kentucky,1993 Rnd 1 Pick 4,United States
Anthony Mason,PF,6-7,250,35,MIL,82,13,Tennessee State,1988 Rnd 3 Pick 3,United States
Desmond Mason,G-F,6-7,224,24,SEA,75,1,Oklahoma State,2000 Rnd 1 Pick 17,United States
Tony Massenburg,PF,6-9,220,34,MEM,73,9,Maryland,1990 Rnd 2 Pick 16,United States
Walter McCarty,F,6-10,230,28,BOS,56,5,Kentucky,1996 Rnd 1 Pick 19,United States
Amal McCaskill,C,6-11,235,28,SAS,27,4,Marquette,1996 Rnd 2 Pick 20,United States
George McCloud,SF,6-6,205,34,DEN,69,11,Florida State,1989 Rnd 1 Pick 7,United States
Jelani McCoy,FC,6-10,245,24,LAL,21,3,UCLA,1998 Rnd 2 Pick 4,United States
Antonio McDyess,F,6-9,245,27,DEN,10,6,Alabama,1995 Rnd 1 Pick 2,United States
Tracy McGrady,GF,6-8,210,22,ORL,76,4,Mt. Zion Christian Academy (North Carolina),1997 Rnd 1 Pick 9,United States
Jeff McInnis,G,6-4,190,27,LAC,81,4,North Carolina,1996 Rnd 2 Pick 8,United States
Derrick McKey,SF,6-9,205,35,PHI,41,14,Alabama,1987 Rnd 1 Pick 9,United States
Aaron McKie,G,6-5,209,29,PHI,48,7,Temple,1994 Rnd 1 Pick 17,United States
Slava Medvedenko,F,6-10,250,22,LAL,71,1,BC Kyiv (Ukraine),"1998 NBA Draft, Undrafted",Ukraine
Bateer Mengke,C,6-11,287,26,DEN,27,0,Ningbo Rockets (China),"1997 NBA Draft, Undrafted",China
Ron Mercer,SG,6-7,210,25,"CHI, IND",53,4,Kentucky,1997 Rnd 1 Pick 6,United States
Chris Mihm,C,7-0,265,22,CLE,74,1,Texas,2000 Rnd 1 Pick 7,United States
Darius Miles,F,6-9,210,20,LAC,82,1,East St. Louis Senior High School (Illinois),2000 Rnd 1 Pick 3,United States
Andre Miller,PG,6-3,200,25,CLE,81,2,Utah,1999 Rnd 1 Pick 8,United States
Brad Miller,C,7-0,261,25,"CHI, IND",76,3,Purdue,"1998 NBA Draft, Undrafted",United States
Mike Miller,GF,6-8,218,22,ORL,63,1,Florida,2000 Rnd 1 Pick 5,United States
Reggie Miller,SG,6-7,185,36,IND,79,14,UCLA,1987 Rnd 1 Pick 11,United States
Chris Mills,SF,6-5,215,32,GSW,66,8,Arizona,1993 Rnd 1 Pick 22,United States
Sam Mitchell,SF,6-6,210,38,MIN,74,14,Mercer,1985 Rnd 3 Pick 7,United States
Cuttino Mobley,G,6-4,190,26,HOU,74,3,Rhode Island,1998 Rnd 2 Pick 12,United States
